10,15,11,12,1,13,15,13,-1,2,11,10,9,8,14,13,4,5,10,11,12,2,3,12,6,8,10,8,13,1,10,11,7,4,0,14,15,11,2,4,6,10,2,1,2
9,6,2,6,7,0,5,11,9,9,5,1,9,10,0,9,7,12,2,13,11,13,9,4,9,4,2,0,2,5,13,7,11,10,6,0,7,13,12,2,3,4,15,15,0
8,11,11,1,9,5,10,10,9,3,10,5,5,10,7,10,6,2,5,14,10,14,11,-1,4,13,12,15,11,11,7,-1,4,-1,2,0,3,5,10,9,3,15,6,9,4
3,13,0,8,14,5,15,8,15,0,6,7,0,12,0,14,4,6,2,0,5,5,9,10,5,10,-1,3,1,14,7,6,7,5,8,11,15,6,12,1,-1,13,15,15,4
1,14,1,8,3,8,2,-1,6,14,14,12,2,1,3,13,8,13,-1,11,12,-1,9,-1,13,7,5,10,11,11,3,1,14,7,0,-1,12,10,0,11,10,14,11,12,15
12,6,2,4,7,14,11,12,14,12,15,14,4,9,0,5,3,12,14,1,0,14,5,14,12,7,11,8,3,13,9,13,2,4,12,5,14,3,7,9,5,0,5,5,1
14,9,15,-1,5,4,8,14,1,15,5,14,0,11,10,6,14,-1,3,3,15,6,9,10,9,3,11,13,3,-1,2,9,15,11,2,6,7,11,9,8,11,4,15,3,8
3,10,3,10,8,10,7,7,1,2,7,4,1,7,3,-1,11,5,0,0,7,14,2,10,8,13,2,-1,11,7,-1,15,3,1,3,7,4,6,1,12,3,9,12,3,12
8,12,12,4,14,13,13,14,6,-1,0,5,8,4,13,9,2,12,11,12,8,0,11,5,13,6,9,9,12,8,11,-1,6,11,3,0,7,9,14,3,7,5,12,-1,10
1,15,14,-1,13,3,8,3,5,7,9,3,-1,15,3,5,13,14,7,13,7,12,9,13,15,0,3,2,8,1,13,0,-1,-1,11,14,6,15,6,1,13,4,11,1,15
3,12,10,8,2,0,5,3,2,1,1,14,9,5,5,10,-1,10,13,1,4,8,15,3,11,1,12,3,3,14,9,10,2,3,15,8,12,7,5,10,6,7,4,8,12
