14,7,6,15,-1,0,10,12,11,11,13,-1,15,3,6,13,12,6,2,1,7,4,8,4,15,15,12,15,7,3,-1,2,13,1,1,6,11,14,7,8
8,13,5,0,3,4,0,10,10,11,8,13,4,15,0,10,2,8,-1,10,15,-1,8,4,15,4,11,15,7,7,10,2,14,6,13,-1,-1,11,7,10
-1,8,7,12,15,6,14,7,3,10,15,1,12,-1,15,3,14,-1,10,14,4,2,10,8,3,9,12,0,9,5,6,14,15,4,3,5,5,2,4,4
3,12,11,2,-1,3,12,11,5,3,12,11,14,12,4,7,9,13,13,14,4,13,2,11,13,14,3,10,-1,-1,9,7,7,5,12,2,2,8,4,1
10,8,4,-1,5,1,6,1,3,5,2,13,9,-1,10,14,-1,4,6,13,11,11,6,-1,-1,15,0,12,1,15,8,7,10,2,8,1,12,4,5,1
-1,10,15,9,10,15,13,15,14,2,14,12,14,10,0,9,6,10,9,1,14,1,11,3,1,13,15,-1,0,3,13,12,8,12,5,11,7,5,11,3
13,15,1,7,12,14,8,1,14,-1,3,2,14,11,15,9,8,9,10,4,9,13,6,1,7,10,1,-1,15,10,-1,6,11,1,9,12,7,8,11,6
1,13,10,10,11,3,9,13,9,1,13,10,15,13,-1,2,1,-1,7,9,12,5,3,9,10,4,14,13,2,7,11,5,-1,2,11,10,15,5,12,12
11,13,5,14,5,12,-1,2,4,4,7,2,9,-1,0,7,9,2,9,8,13,7,7,11,10,12,14,15,6,13,14,-1,-1,-1,14,13,1,7,13,12
5,6,13,4,4,3,1,10,14,0,1,12,14,-1,15,9,8,6,13,6,11,13,7,4,10,13,3,15,13,3,5,6,10,0,10,0,13,9,11,1
1,7,6,7,5,6,9,0,8,4,12,11,0,4,6,-1,6,5,9,8,11,8,2,7,-1,7,-1,3,7,12,11,10,3,14,0,1,14,10,7,2
11,9,11,-1,9,15,15,10,11,3,1,14,5,4,8,12,0,8,13,3,12,6,11,2,4,3,0,7,14,9,12,4,-1,5,13,11,10,10,11,2
13,-1,15,4,12,7,12,8,-1,2,11,1,15,13,-1,4,10,5,5,11,8,3,10,12,12,11,13,4,4,7,10,9,2,9,2,2,2,10,13,2
6,6,13,13,2,-1,15,11,8,15,14,13,-1,1,4,15,13,8,13,5,1,-1,0,6,7,14,14,0,5,2,3,5,13,5,10,12,10,15,14,5
5,-1,1,6,8,2,2,6,8,9,14,13,7,3,2,4,15,1,1,7,-1,13,9,12,14,9,9,12,1,15,10,10,14,8,13,15,6,14,4,11
13,14,0,3,11,6,9,6,5,15,6,12,5,7,6,12,10,15,-1,15,6,9,6,11,14,11,10,0,-1,0,1,10,6,10,3,9,0,10,1,0
3,3,14,14,8,6,-1,4,9,9,4,1,5,8,2,15,12,0,15,9,4,1,5,13,7,-1,13,14,7,9,8,0,-1,13,7,-1,13,15,5,0
2,5,1,13,7,8,15,8,8,2,8,11,4,4,6,0,1,15,5,11,3,12,7,7,2,14,10,15,4,9,10,7,8,14,6,11,6,14,0,5
3,14,0,5,15,5,10,10,8,9,4,4,-1,1,4,1,-1,7,14,7,13,13,-1,5,13,11,15,15,0,9,15,6,5,1,13,5,3,11,8,9
9,10,2,12,11,13,9,10,0,14,9,7,15,12,11,15,5,14,13,5,6,6,13,14,10,13,11,6,12,8,11,14,11,9,-1,6,-1,5,6,13
15,15,6,4,8,-1,0,13,14,0,9,6,7,12,-1,13,5,-1,0,14,15,12,14,2,13,8,15,13,4,14,5,10,11,14,12,2,10,13,7,13
11,12,13,1,2,11,13,9,12,5,4,11,11,8,1,5,4,7,3,12,0,5,13,15,7,14,14,7,12,10,12,10,14,11,2,15,4,8,13,0
10,13,4,13,15,2,5,4,15,5,0,3,11,15,12,14,7,2,13,6,4,-1,5,5,3,2,7,7,15,9,0,9,5,8,5,0,0,3,4,7
12,1,6,14,9,0,1,1,15,11,3,6,15,14,6,14,5,6,-1,10,15,15,7,15,2,-1,12,6,5,7,11,0,4,1,12,2,6,15,6,0
5,5,3,9,4,15,8,2,12,14,13,1,3,5,0,5,11,9,3,3,4,12,5,8,15,15,11,13,5,15,1,8,7,2,11,7,14,0,10,6
12,4,5,5,7,15,13,4,3,13,6,12,2,6,14,7,11,8,-1,2,15,12,4,7,9,12,13,5,9,6,12,-1,8,10,11,3,1,0,3,8
14,8,3,9,11,15,3,-1,15,4,14,0,2,5,7,9,13,4,7,7,10,7,14,5,7,9,12,7,12,5,12,13,11,10,15,10,14,3,-1,13
1,0,2,11,7,5,12,4,3,11,15,-1,5,5,12,4,3,-1,6,-1,13,7,4,3,11,9,7,0,6,7,10,2,10,5,7,14,2,-1,8,15
5,8,15,4,1,14,15,0,6,-1,10,11,-1,1,12,11,8,11,5,8,12,-1,-1,11,13,7,2,8,5,12,12,0,0,7,6,2,1,10,13,15
6,12,3,1,3,5,6,1,0,9,14,5,-1,0,7,12,13,11,15,14,5,10,11,6,10,-1,7,0,4,13,4,15,13,9,10,3,7,12,6,5
13,11,15,15,4,1,3,8,3,10,10,6,12,9,9,7,7,4,5,5,11,9,6,11,8,5,1,15,0,11,0,-1,6,3,5,2,8,0,10,3
5,4,15,3,9,15,12,8,8,12,2,11,12,3,15,8,8,8,-1,15,13,13,11,13,6,10,6,14,14,13,1,5,0,13,-1,11,10,10,3,8
-1,2,9,13,5,0,11,11,10,13,4,3,11,11,0,-1,2,9,2,14,14,12,10,4,15,1,11,8,12,15,2,2,13,2,2,13,13,12,0,6
8,1,4,15,15,6,11,6,9,8,9,10,4,11,6,8,12,3,1,1,7,8,0,7,0,9,2,7,-1,0,15,7,14,0,4,9,6,12,8,8
9,10,14,14,15,1,9,3,3,14,-1,5,14,11,12,11,2,14,3,0,11,14,-1,4,3,13,6,3,6,1,3,13,5,7,0,5,13,8,5,12
5,4,-1,4,7,1,9,6,1,10,10,7,13,7,1,9,4,3,4,-1,-1,13,4,7,15,7,7,3,15,13,7,14,1,5,3,8,2,0,15,10
3,8,8,0,5,5,15,3,10,12,15,14,12,10,2,-1,0,-1,11,12,14,7,3,12,6,1,12,2,1,13,10,12,2,10,4,15,3,1,9,6
3,3,4,-1,10,12,9,10,2,6,2,0,4,0,0,8,1,15,14,8,6,1,4,0,9,12,12,-1,14,6,15,3,-1,0,12,1,6,7,0,11
4,10,-1,9,11,0,-1,7,8,-1,4,15,0,2,8,9,12,15,6,9,-1,8,12,2,3,4,4,1,2,4,0,6,8,12,1,14,5,2,13,4
7,-1,1,6,11,10,14,9,14,4,14,12,12,1,5,8,10,8,6,3,15,6,5,10,8,10,4,10,15,10,11,8,2,14,3,-1,15,9,11,7
0,0
39,39
end
