13,4,15,6,-1,4,5,3,15,0,12,-1,7,5,3,10,7,0,3,7,2,11,15,9,3,10,14,11,14,4,5,7,1,13,2
6,6,5,3,12,15,15,15,5,10,1,15,8,3,10,4,3,10,1,4,12,1,7,15,12,7,3,0,4,0,13,9,3,11,9
13,11,6,12,1,14,9,11,13,-1,11,7,9,4,4,3,5,14,5,9,15,12,-1,9,15,4,7,8,10,9,14,7,10,11,1
3,11,11,7,6,5,0,4,2,0,1,15,13,15,1,12,7,7,4,10,6,2,14,12,5,3,14,3,4,2,11,13,12,0,8
5,4,3,3,8,9,12,14,11,14,15,-1,6,4,11,14,3,13,12,0,10,4,0,5,3,1,1,2,6,13,10,7,7,7,6
12,11,9,1,0,11,13,-1,6,14,6,-1,5,-1,1,9,9,-1,1,10,9,9,4,14,7,7,-1,14,8,7,11,12,13,10,14
14,6,-1,5,12,8,2,2,13,15,7,5,2,8,1,15,11,3,13,6,15,1,7,15,11,14,2,2,6,3,10,5,5,9,2
4,-1,14,13,11,13,1,13,-1,11,7,5,-1,6,8,-1,8,7,12,12,10,13,12,0,3,0,14,3,2,13,2,15,2,14,3
14,4,11,10,4,10,3,9,13,10,9,4,11,4,11,6,13,2,3,7,11,1,9,9,12,2,0,8,6,14,11,7,0,4,14
10,11,-1,-1,3,12,15,1,0,0,12,6,0,8,14,4,4,10,13,1,11,6,1,2,5,1,10,9,10,12,5,2,15,4,14
14,9,6,-1,13,6,15,13,4,2,12,4,1,7,14,1,6,8,10,15,9,3,11,14,5,9,14,8,13,2,14,5,15,14,1
10,3,4,15,-1,4,10,2,6,10,6,11,11,-1,13,10,-1,10,12,-1,7,7,10,9,5,12,10,6,2,1,1,15,5,6,5
13,15,-1,6,12,14,5,3,8,12,6,-1,0,5,14,15,7,-1,3,8,-1,12,2,3,12,7,0,6,0,9,10,0,3,10,1
15,15,1,8,4,0,6,2,10,2,8,8,14,15,0,9,1,12,6,14,6,12,13,3,-1,12,2,8,4,1,2,11,-1,11,4
10,8,2,9,5,14,0,6,10,13,8,13,13,4,9,7,14,14,1,6,15,8,10,2,4,10,3,8,4,8,2,4,12,12,14
1,10,2,1,11,1,-1,2,0,7,9,13,1,5,10,4,7,15,8,1,13,12,10,10,0,7,12,9,6,13,6,7,5,4,3
2,6,14,9,11,2,14,8,3,7,13,3,7,6,6,15,13,7,2,10,9,11,3,2,7,14,7,13,7,8,3,-1,9,0,11
10,10,10,12,-1,8,9,0,4,3,9,12,8,10,13,-1,5,3,1,5,2,0,3,3,10,0,12,4,0,9,9,0,14,1,8
15,14,11,10,2,5,7,6,5,11,-1,13,0,1,9,5,3,2,13,11,7,3,11,7,1,9,2,3,13,5,15,1,5,7,5
1,15,11,6,5,9,0,4,5,13,14,-1,0,3,12,6,-1,10,5,13,8,9,9,2,8,5,8,6,1,11,10,0,9,11,3
15,-1,13,1,11,14,3,0,11,4,3,12,11,11,4,1,3,11,0,1,14,12,10,0,14,13,7,2,12,1,2,8,3,14,-1
5,8,15,8,15,11,7,3,10,1,0,13,11,0,15,11,13,7,4,7,1,6,12,0,1,10,4,9,12,2,3,0,8,14,11
7,11,4,14,14,11,-1,4,8,10,0,1,2,10,3,13,2,10,5,5,9,9,2,2,6,1,9,8,9,4,4,14,14,3,12
6,7,6,7,-1,14,0,-1,8,8,6,3,9,13,14,12,4,12,7,11,7,0,8,6,2,5,6,14,2,-1,4,-1,10,10,-1
10,1,0,15,9,0,5,2,4,9,2,1,13,8,-1,11,2,15,15,4,5,3,9,0,5,10,15,15,0,1,5,3,4,9,14
6,9,9,4,11,5,-1,1,-1,8,9,7,15,8,5,15,3,15,2,12,13,11,8,4,2,11,9,5,11,6,2,14,9,5,5
0,6,8,14,15,3,2,15,15,12,2,4,15,-1,9,12,1,4,12,9,12,9,2,13,11,9,9,3,9,15,6,4,12,-1,4
1,15,7,13,2,1,9,14,8,15,5,9,0,4,10,2,10,13,0,1,14,8,5,0,12,8,7,2,7,10,8,9,2,9,12
2,13,6,11,12,13,2,4,-1,14,10,10,4,0,1,13,14,9,3,14,8,7,5,8,3,12,3,4,4,14,14,4,14,8,3
13,3,5,6,10,0,4,10,15,4,3,6,14,14,6,6,-1,10,-1,5,4,2,0,1,13,1,2,15,6,2,0,12,10,-1,9
7,14,5,1,8,6,3,0,8,12,14,0,13,8,-1,4,4,11,0,3,12,11,11,0,4,5,12,3,9,12,5,7,1,4,2
14,6,8,0,14,8,-1,8,3,1,7,0,15,9,12,12,4,0,1,14,9,7,6,6,7,14,7,3,11,12,3,2,2,8,7
2,-1,12,12,3,0,5,8,0,1,12,5,7,3,11,0,7,0,10,9,11,12,6,8,14,5,2,9,8,2,5,3,14,10,7
7,-1,12,3,5,15,14,9,1,4,11,4,-1,13,3,3,0,2,1,14,2,1,12,0,0,15,13,2,15,8,7,0,7,-1,0
0,3,5,14,12,13,7,10,-1,3,13,5,14,13,10,14,-1,3,2,14,13,8,14,6,11,0,1,15,4,4,0,6,4,1,11
0,0
34,34
end
