14,15,12,6,14,9,12,12,13,13,12,-1,5,14,14,12,1,2,10,11,4,13,9,8,4,6,2,-1,7,0
9,-1,7,3,10,0,8,5,11,5,1,3,14,15,14,14,10,15,10,1,13,4,10,10,10,2,2,10,1,11
1,1,3,11,4,10,4,10,0,15,10,15,2,11,5,6,10,14,12,6,2,2,10,6,12,12,3,3,0,14
14,6,6,1,0,3,0,1,1,13,15,11,12,7,1,11,10,3,8,13,8,6,-1,0,13,0,1,5,7,4
9,-1,8,1,6,4,12,13,7,1,9,7,15,5,4,4,14,3,5,9,5,5,12,15,5,5,4,15,4,12
8,6,6,4,14,7,15,1,9,14,8,8,8,6,10,9,7,6,11,11,4,3,1,7,0,14,2,6,10,13
11,8,15,8,11,8,10,5,9,3,8,11,3,1,7,-1,10,13,2,13,10,-1,12,11,7,13,0,-1,12,0
12,3,4,11,7,8,-1,5,2,8,0,2,14,0,6,14,3,13,13,11,8,0,9,6,1,7,8,6,-1,15
10,3,6,3,11,4,11,15,1,10,10,10,4,7,10,7,10,2,9,10,13,12,0,11,7,11,4,13,0,11
7,0,6,14,10,5,4,8,11,8,9,13,7,2,-1,12,7,7,1,15,1,2,5,11,12,4,3,4,8,8
1,2,6,14,12,10,7,2,0,-1,8,14,5,9,13,15,-1,11,5,8,0,3,11,0,12,5,2,13,10,-1
7,6,8,12,13,12,3,11,14,12,0,8,8,3,11,12,8,8,7,12,6,14,10,12,15,5,12,3,12,2
7,11,3,3,-1,12,8,12,15,8,4,11,10,4,1,1,11,4,13,2,1,4,15,8,11,13,4,2,1,2
2,9,12,13,8,4,12,1,1,6,2,10,0,13,0,9,-1,7,15,15,0,13,12,13,8,9,14,-1,11,1
12,1,11,9,14,4,2,13,9,6,10,4,5,12,9,14,6,11,4,0,15,8,12,2,13,8,3,12,6,14
0,3,5,5,11,10,11,9,9,15,2,12,-1,2,4,8,2,15,14,11,4,8,7,15,3,6,8,8,7,15
4,-1,13,0,6,0,13,2,11,14,11,14,13,2,12,12,14,8,-1,-1,-1,1,-1,3,7,11,9,10,3,5
5,7,8,13,13,-1,14,11,11,1,15,3,14,7,7,4,14,10,4,5,13,11,15,15,5,14,2,8,4,0
1,-1,15,6,14,11,-1,-1,10,12,12,-1,1,7,11,3,14,1,10,13,3,12,5,2,4,14,13,5,5,2
1,15,0,15,15,10,6,7,6,7,3,11,11,12,11,5,3,-1,5,11,3,6,12,5,5,15,13,14,5,4
5,0,7,14,5,2,15,10,9,12,7,8,11,4,15,8,3,0,12,0,4,5,11,14,9,0,11,7,0,12
11,10,3,3,3,0,10,13,5,11,-1,7,7,5,12,7,6,6,1,5,15,7,14,5,1,1,9,0,7,7
8,13,13,8,15,12,10,11,1,12,5,12,1,11,15,14,2,10,-1,3,1,13,11,11,10,10,10,0,0,15
4,3,13,12,6,0,10,1,6,15,10,7,13,5,7,13,10,4,15,-1,11,8,12,9,13,11,14,15,6,7
10,11,13,9,7,9,1,8,-1,6,11,0,4,0,15,1,15,3,13,1,13,1,9,1,-1,7,11,13,8,7
6,1,7,-1,11,9,0,4,9,1,2,9,5,12,2,14,8,14,5,0,6,7,8,0,5,6,11,6,14,11
3,6,8,4,10,7,15,12,-1,14,14,10,4,8,5,0,0,9,11,12,9,-1,-1,8,8,12,8,3,0,11
12,1,15,13,8,6,3,3,10,6,15,6,4,-1,1,12,9,10,10,7,9,9,0,-1,7,0,1,5,12,14
12,3,3,12,-1,0,7,5,8,4,2,13,7,3,14,-1,0,5,4,0,11,9,12,8,12,6,-1,9,5,11
4,9,7,13,12,1,11,4,11,13,5,7,4,15,10,5,4,10,6,4,-1,10,0,15,3,6,2,1,11,15
0,0
29,29
end
